date,state,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth,deaths_total,deaths_total_per100k,deaths_avg_week,deaths_avg_week_per100k,deaths_week_growth
2020-02-14,Massachusetts,1,0.015,0,0,NA,0,0,0,0,NA
2020-02-14,Texas,2,0.007,NA,NA,NA,0,0,NA,NA,NA
2020-02-14,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-14,Wisconsin,1,0.017,0,0,NA,0,0,0,0,NA
2020-02-15,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-15,California,7,0.018,0.14285714285714285,0,-0.2,0,0,0,0,0
2020-02-15,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-15,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-15,Texas,2,0.007,NA,NA,NA,0,0,NA,NA,NA
2020-02-15,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-15,Wisconsin,1,0.017,0,0,NA,0,0,0,0,NA
2020-02-16,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-16,California,7,0.018,0.14285714285714285,0,0.143,0,0,0,0,0
2020-02-16,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-16,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-16,Texas,2,0.007,NA,NA,NA,0,0,NA,NA,NA
2020-02-16,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-16,Wisconsin,1,0.017,0,0,NA,0,0,0,0,NA
2020-02-17,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-17,California,7,0.018,0,0,-0.125,0,0,0,0,0
2020-02-17,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-17,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-17,Nebraska,10,0.517,NA,NA,NA,0,0,NA,NA,NA
2020-02-17,Texas,2,0.007,NA,NA,NA,0,0,NA,NA,NA
2020-02-17,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-17,Wisconsin,1,0.017,0,0,NA,0,0,0,0,NA
2020-02-18,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-18,California,7,0.018,0,0,-0.125,0,0,0,0,0
2020-02-18,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-18,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-18,Nebraska,10,0.517,NA,NA,NA,0,0,NA,NA,NA
2020-02-18,Texas,2,0.007,NA,NA,NA,0,0,NA,NA,NA
2020-02-18,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-18,Wisconsin,1,0.017,0,0,NA,0,0,0,0,NA
2020-02-19,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-19,California,7,0.018,0,0,-0.125,0,0,0,0,0
2020-02-19,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-19,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-19,Nebraska,10,0.517,NA,NA,NA,0,0,NA,NA,NA
2020-02-19,Texas,2,0.007,0.14285714285714285,0,NA,0,0,0,0,NA
2020-02-19,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-19,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-02-20,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-20,California,8,0.02,0.14285714285714285,0,0,0,0,0,0,0
2020-02-20,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-20,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-20,Nebraska,11,0.569,NA,NA,NA,0,0,NA,NA,NA
2020-02-20,Texas,2,0.007,0,0,NA,0,0,0,0,NA
2020-02-20,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-20,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-02-21,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-21,California,9,0.023,0.2857142857142857,0.001,0.125,0,0,0,0,0
2020-02-21,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-21,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-21,Nebraska,11,0.569,NA,NA,NA,0,0,NA,NA,NA
2020-02-21,Texas,4,0.014,0.2857142857142857,0.001,NA,0,0,0,0,NA
2020-02-21,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-21,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-02-22,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-22,California,9,0.023,0.2857142857142857,0.001,0.125,0,0,0,0,0
2020-02-22,Illinois,2,0.016,0,0,0,0,0,0,0,0
